Pos,Transaction ID,Product,Quantity,Customer,Date
1,E100,TV,1,Test customer 1,2021-08-04
2,E200,Laptop,1,Test customer 2,2021-08-05
3,E300,TV,1,Test customer 2,2021-08-06
4,E400,Smartphone,2,Test customer 1,2021-08-07
5,E100,Laptop,1,Test customer 3,2021-08-08
6,E400,TV,1,Test customer 2,2021-08-09
7,E700,Smartphone,3,Test customer 1,2021-08-10
8,E700,Laptop,2,Test customer 2,2021-08-11
9,E900,Smartphone,3,Test customer 1,2021-08-12
10,E300,Smartphone,1,Test customer 2,2021-08-13
11,E100,TV,1,Test customer 1,2021-08-14
